Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
3,3,3,2320.0,65000,Madhapur,0,0,1,0
3,3,2,1200.0,30000,Kondapur,0,0,0,0
3,3,2,1968.0,90000,Banjara Hills,0,0,0,0
3,3,2,1488.0,49000,Gachibowli,1,0,0,0
2,2,0,898.0,44000,Nanakramguda,0,0,0,0
3,3,2,1720.0,40000,Nallagandla,0,0,0,0
3,3,3,1360.0,35000,Serilingampally,0,0,0,0
3,3,2,2064.0,68000,Kakatiya Hills,1,0,0,0
3,3,2,1600.0,30000,Hafeezpet,1,0,0,0
3,3,2,1600.0,45000,Madhapur,0,0,0,0
3,3,2,1440.0,21000,Mokila,0,0,1,0
4,4,2,3200.0,125000,Gachibowli,0,0,0,0
4,4,2,3000.0,90000,Hi Tech City,0,0,0,0
4,3,0,2800.0,55000,Banjara Hills,0,0,0,0
3,3,2,2440.0,62000,Banjara Hills,1,0,0,0
3,3,0,1750.0,56000,Banjara Hills,0,0,0,0
4,4,0,4500.0,250000,Jubilee Hills,0,0,0,0
4,4,2,2584.0,90000,Kokapet,1,0,0,0
3,3,0,2400.0,60000,Banjara Hills,0,0,0,0
4,4,2,2400.0,60000,Madhapur,0,0,0,0
3,3,2,1440.0,35000,Banjara Hills,0,0,1,0
3,2,2,1040.0,35000,Kakatiya Hills,0,0,0,0
4,4,2,2500.0,38000,Gachibowli,0,0,0,0
3,3,2,1680.0,42000,Kondapur,0,0,0,0
3,3,2,2400.0,55000,Gachibowli,0,0,0,0
4,4,2,3000.0,125000,Kavuri Hills,1,0,0,0
3,3,2,1160.0,23000,Gachibowli,0,0,1,0
3,3,0,2450.0,70000,Banjara Hills,0,0,0,0
3,3,0,1394.0,56000,Nanakramguda,1,0,0,0
3,2,0,1017.0,16000,Bollaram-Miyapur,0,1,0,0
3,2,2,0.0,1000,Gandi Maisamma,0,1,0,0
3,3,2,1308.0,35000,Chikkadapally,0,1,0,0
2,2,0,900.0,11500,Serilingampally,0,0,0,0
1,1,1,150.0,20000,Jalpally,0,0,0,0
2,2,0,900.0,13500,Sayeedabad Colony,0,0,0,0
3,3,2,1256.0,18000,Saroor Nagar,1,0,0,0
2,2,0,1125.0,10500,RC Reddy Colony,0,1,0,0
2,2,0,938.0,10000,Upperpally,0,1,0,0
2,2,0,825.0,12500,Ayodhya Nagar Colony-Mehdipatnam,0,1,0,0
3,3,0,1056.0,15000,Pocharam,0,1,0,0
3,3,0,1031.0,12000,Hasthinapuram Central,0,1,0,0
3,3,1,938.0,18000,Bandlaguda Jagir,0,0,0,0
4,4,1,6750.0,140000,Mehdipatnam,0,0,0,0
2,2,1,750.0,22000,MIGH Colony-Mehdipatnam,0,0,0,0
3,3,2,938.0,11500,Kowkur,0,0,0,0
2,2,0,750.0,20000,East Marredpally,0,0,0,0
2,2,0,900.0,11000,Moula Ali,0,1,0,0
2,2,2,825.0,12000,Mohan Nagar,0,0,0,0
2,2,0,750.0,12000,Hussaini Alam,0,0,0,0
2,2,2,878.0,12000,Mallampet,0,1,0,0
2,2,2,825.0,11500,Attapur,0,0,0,0
1,1,0,675.0,12000,Ameenpur,0,0,0,0
2,2,0,825.0,15000,IDA Jeedimetla,0,1,0,0
2,2,0,887.0,18000,Attapur,0,1,0,0
2,2,2,1125.0,22000,Barkatpura,0,0,0,0
3,3,0,2625.0,16000,Falaknuma,0,0,0,0
2,2,0,735.0,14000,Darulshifa,0,0,0,0
2,2,0,750.0,10000,Darulshifa,0,1,0,0
2,2,0,750.0,12000,Miyapur,0,1,0,0
2,2,0,750.0,8500,Medipally,0,0,0,0
1,1,0,800.0,13500,Gayatri Nagar-Borabanda,0,0,0,0
2,2,0,713.0,12000,Saleem Nagar Colony,0,0,0,0
2,2,1,938.0,7000,Bollaram Industrial Area,0,0,0,0
2,3,0,1500.0,33000,Masab Tank,0,1,0,0
2,2,0,911.0,25000,Upparpalli,0,1,0,0
3,3,3,1575.0,21000,Jeedimetla,0,0,0,0
1,1,0,900.0,10000,Upperpally,0,0,0,0
3,3,3,1650.0,42000,Madinaguda,0,1,0,0
3,3,0,1163.0,22000,Attapur,0,1,0,0
3,3,0,1215.0,25000,Gajularamaram,0,0,0,0
3,3,0,1020.0,25000,Green Hills Colony-LB Nagar,0,1,0,0
2,2,2,900.0,16000,Madinaguda,0,0,0,0
2,2,2,880.0,18500,Film Nagar,0,0,0,0
2,2,0,750.0,7000,Uppal,0,1,0,0
2,2,2,956.0,26000,Nallagandla,0,1,0,0
2,2,2,1250.0,22000,Alkapur Township,0,1,0,0
2,2,2,788.0,15500,Chanda Nagar,0,0,0,0
3,3,0,1800.0,50000,Abids,0,0,0,0
2,2,2,608.0,11000,Old Bowenpally,0,0,0,0
2,2,1,960.0,12000,Adibatla,0,0,0,0
3,2,2,1073.0,20000,Miyapur,0,1,0,0
3,3,0,975.0,18000,Chanda Nagar,0,0,0,0
3,2,2,1069.0,21000,Uppal,0,0,0,0
2,2,2,75.0,10000,Bachupally,0,0,0,0
2,2,0,750.0,22000,MIGH Colony-Mehdipatnam,0,1,0,0
2,2,0,900.0,11500,Pragathi Nagar-Kukatpally,0,0,0,0
2,2,2,113.0,29900,Banjara Hills,0,0,0,0
3,3,0,1875.0,50000,Madhapur,0,0,0,0
2,2,0,675.0,10000,Pasha Colony,0,0,0,0
3,3,0,1500.0,55000,Banjara Hills,0,0,0,0
2,2,0,900.0,8500,Sainikpuri,0,1,0,0
2,2,2,825.0,11000,Uppal,0,1,0,0
3,3,0,1088.0,19500,Nallagandla,0,0,0,0
2,2,1,525.0,15000,Bala Nagar,0,0,0,0
2,2,0,800.0,17000,Erragadda,0,0,0,0
2,2,2,975.0,10000,Attapur,0,0,0,0
1,2,1,413.0,8000,Chanda Nagar,0,0,0,0
2,3,3,880.0,25000,Gachibowli,0,1,0,0
1,1,0,938.0,11000,Allwyn Colony,0,1,0,0
3,2,2,1013.0,20000,Paramount Hills,0,0,0,0
2,2,2,1125.0,12500,Sriramnagar Colony-Banjara Hills,0,1,0,0
2,2,0,784.0,20000,Kakatiya Hills,0,1,0,0
3,2,0,1400.0,22000,Miyapur,0,0,0,0
1,1,0,225.0,5000,Dilsukhnagar,0,1,0,0
2,2,2,525.0,8500,Hakimpet,0,0,0,0
2,2,0,938.0,20000,Pragathi Nagar-Kukatpally,0,0,0,0
2,2,2,713.0,15000,Moula Ali,0,0,0,0
3,3,0,1013.0,12000,Quthbullapur,0,0,0,0
2,2,0,713.0,15000,Mallapur,0,0,0,0
3,3,2,1280.0,22000,Trimulgherry,0,1,0,0
3,3,0,1048.0,18500,Kismatpur,0,0,0,0
3,3,2,1460.0,22000,Trimulgherry,0,1,0,0
1,1,0,450.0,5500,Bandlaguda Jagir,0,1,0,0
2,2,0,825.0,12000,Nallagandla,0,0,0,0
3,3,0,1088.0,21000,Miyapur,0,0,0,0
1,1,0,150.0,5500,Manikonda,0,0,0,0
4,4,2,2205.0,48000,Gachibowli,0,0,0,0
2,2,2,750.0,9000,Manikonda,0,0,0,0
2,2,0,750.0,10500,Puppalaguda,0,0,0,0
1,1,0,600.0,11000,Allwyn Colony,0,0,0,0
2,2,2,1125.0,25000,Yousufguda,0,0,0,0
1,1,2,75.0,8000,New vivekananda Nagar,0,1,0,0
2,2,3,1000.0,37000,Hi Tech City,0,0,0,0
2,2,0,1084.0,18000,Madinaguda,0,0,0,0
1,1,2,150.0,5000,Malkajgiri,0,0,0,0
3,3,2,1170.0,25000,Miyapur,0,1,0,0
2,2,2,1174.0,20000,Miyapur,0,1,0,0
2,2,2,788.0,14500,Miyapur,0,1,0,0
1,1,0,0.0,1000,Kukatpally,0,0,0,0
2,3,2,1088.0,28000,Kondapur,0,0,0,0
2,2,0,900.0,13500,New Bolarum,0,1,0,0
3,3,0,1163.0,21000,Gachibowli,0,1,0,0
3,3,2,1212.0,25000,Moosapet,0,0,0,0
3,3,2,1616.0,42000,Himayath Nagar,1,0,0,0
