,Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
0,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
1,3,3,Semi Furnished,1200," 30,000        ",Kondapur,0,0,0,0
2,3,3,Semi Furnished,1968," 90,000        ",Banjara Hills,0,0,0,0
3,3,3,Semi Furnished,1488," 49,000        ",Gachibowli,1,0,0,0
4,2,2,NaN,898," 44,000        ",Nanakramguda,0,0,0,0
5,3,3,Semi Furnished,1720," 40,000        ",Nallagandla,0,0,0,0
6,3,3,Fully Furnished,1360," 35,000        ",Serilingampally,0,0,0,0
7,3,3,Semi Furnished,2064," 68,000        ",Kakatiya Hills,1,0,0,0
8,3,3,Semi Furnished,1600," 30,000        ",Hafeezpet,1,0,0,0
9,3,3,Semi Furnished,1600," 45,000        ",Madhapur,0,0,0,0
10,3,3,Semi Furnished,1440," 21,000        ",Mokila,0,0,1,0
11,4,4,Semi Furnished,3200, 1.25 L         ,Gachibowli,0,0,0,0
12,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
13,4,3,NaN,2800," 55,000        ",Banjara Hills,0,0,0,0
14,3,3,Semi Furnished,2440," 62,000        ",Banjara Hills,1,0,0,0
15,3,3,NaN,1750," 56,000        ",Banjara Hills,0,0,0,0
16,4,4,NaN,4500, 2.50 L         ,Jubilee Hills,0,0,0,0
17,4,4,Semi Furnished,2584," 90,000        ",Kokapet,1,0,0,0
18,3,3,NaN,2400," 60,000        ",Banjara Hills,0,0,0,0
19,4,4,Semi Furnished,2400," 60,000        ",Madhapur,0,0,0,0
20,3,3,Semi Furnished,1440," 35,000        ",Banjara Hills,0,0,1,0
21,3,2,Semi Furnished,1040," 35,000        ",Kakatiya Hills,0,0,0,0
22,4,4,Semi Furnished,2500," 38,000        ",Gachibowli,0,0,0,0
23,3,3,Semi Furnished,1680," 42,000        ",Kondapur,0,0,0,0
24,3,3,Semi Furnished,2400," 55,000        ",Gachibowli,0,0,0,0
25,4,4,Semi Furnished,3000, 1.25 L         ,Kavuri Hills,1,0,0,0
26,3,3,Semi Furnished,1720," 40,000        ",Nallagandla,0,0,0,0
27,3,3,Semi Furnished,1160," 23,000        ",Gachibowli,0,0,1,0
28,3,3,NaN,2450," 70,000        ",Banjara Hills,0,0,0,0
29,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
30,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
31,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
32,3,3,Semi Furnished,1488," 49,000        ",Gachibowli,1,0,0,0
33,3,3,Semi Furnished,1160," 23,000        ",Gachibowli,0,0,1,0
34,4,4,Semi Furnished,3000, 1.25 L         ,Kavuri Hills,1,0,0,0
35,3,3,Semi Furnished,1720," 40,000        ",Nallagandla,0,0,0,0
36,3,3,NaN,2450," 70,000        ",Banjara Hills,0,0,0,0
37,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
38,3,2,NaN,1017," 16,000        ",Bollaram-Miyapur,0,1,0,0
39,3,2,Semi Furnished,N/A,          Call For Price        ,Gandi Maisamma,0,1,0,0
40,3,3,Semi Furnished,1308," 35,000        ",Chikkadapally,0,1,0,0
41,2,2,NaN,900," 11,500        ",Serilingampally,0,0,0,0
42,1,1,Not Furnished,150," 20,000        ",Jalpally,0,0,0,0
43,2,2,NaN,900," 13,500        ",Sayeedabad Colony,0,0,0,0
44,3,3,Semi Furnished,1256," 18,000        ",Saroor Nagar,1,0,0,0
45,2,2,NaN,1125," 10,500        ",RC Reddy Colony,0,1,0,0
46,2,2,NaN,938," 10,000        ",Upperpally,0,1,0,0
47,2,2,NaN,825," 12,500        ",Ayodhya Nagar Colony-Mehdipatnam,0,1,0,0
48,3,3,NaN,1056," 15,000        ",Pocharam,0,1,0,0
49,3,3,NaN,1031," 12,000        ",Hasthinapuram Central,0,1,0,0
50,3,3,Not Furnished,938," 18,000        ",Bandlaguda Jagir,0,0,0,0
51,4,4,Not Furnished,6750, 1.40 L         ,Mehdipatnam,0,0,0,0
52,2,2,Not Furnished,750," 22,000        ",MIGH Colony-Mehdipatnam,0,0,0,0
53,3,3,Semi Furnished,938," 11,500        ",Kowkur,0,0,0,0
54,2,2,NaN,750," 20,000        ",East Marredpally,0,0,0,0
55,2,2,NaN,900," 11,000        ",Moula Ali,0,1,0,0
56,2,2,Semi Furnished,825," 12,000        ",Mohan Nagar,0,0,0,0
57,2,2,NaN,750," 12,000        ",Hussaini Alam,0,0,0,0
58,2,2,Semi Furnished,878," 12,000        ",Mallampet,0,1,0,0
59,2,2,Semi Furnished,825," 11,500        ",Attapur,0,0,0,0
60,4,4,Semi Furnished,3000," 90,000        ",Hi Tech City,0,0,0,0
61,4,4,Semi Furnished,3200, 1.25 L         ,Gachibowli,0,0,0,0
62,3,3,NaN,1394," 56,000        ",Nanakramguda,1,0,0,0
63,3,3,Semi Furnished,1488," 49,000        ",Gachibowli,1,0,0,0
64,3,3,Semi Furnished,2400," 55,000        ",Gachibowli,0,0,0,0
65,2,2,Semi Furnished,878," 12,000        ",Mallampet,0,1,0,0
66,1,1,NaN,675," 12,000        ",Ameenpur,0,0,0,0
67,2,2,NaN,825," 15,000        ",IDA Jeedimetla,0,1,0,0
68,2,2,NaN,887," 18,000        ",Attapur,0,1,0,0
69,2,2,Semi Furnished,1125," 22,000        ",Barkatpura,0,0,0,0
70,3,3,NaN,2625," 16,000        ",Falaknuma,0,0,0,0
71,2,2,NaN,735," 14,000        ",Darulshifa,0,0,0,0
72,2,2,NaN,750," 10,000        ",Darulshifa,0,1,0,0
73,2,2,NaN,750," 10,000        ",Darulshifa,0,1,0,0
74,2,2,NaN,750," 12,000        ",Miyapur,0,1,0,0
75,2,2,NaN,750," 8,500        ",Medipally,0,0,0,0
76,1,1,NaN,800," 13,500        ",Gayatri Nagar-Borabanda,0,0,0,0
77,2,2,NaN,713," 12,000        ",Saleem Nagar Colony,0,0,0,0
78,2,2,Not Furnished,938," 7,000        ",Bollaram Industrial Area,0,0,0,0
79,2,3,NaN,1500," 33,000        ",Masab Tank,0,1,0,0
80,2,2,NaN,911," 25,000        ",Upparpalli,0,1,0,0
81,3,3,Fully Furnished,1575," 21,000        ",Jeedimetla,0,0,0,0
82,1,1,NaN,900," 10,000        ",Upperpally,0,0,0,0
83,2,2,NaN,900," 11,500        ",Serilingampally,0,0,0,0
84,3,3,Fully Furnished,1650," 42,000        ",Madinaguda,0,1,0,0
85,3,3,NaN,1163," 22,000        ",Attapur,0,1,0,0
86,3,3,NaN,1215," 25,000        ",Gajularamaram,0,0,0,0
87,3,3,NaN,1020," 25,000        ",Green Hills Colony-LB Nagar,0,1,0,0
88,2,2,Semi Furnished,900," 16,000        ",Madinaguda,0,0,0,0
89,2,2,Semi Furnished,880," 18,500        ",Film Nagar,0,0,0,0
90,3,3,Fully Furnished,2320," 65,000        ",Madhapur,0,0,1,0
91,4,4,Semi Furnished,3000, 1.25 L         ,Kavuri Hills,1,0,0,0
92,4,4,Semi Furnished,2400," 60,000        ",Madhapur,0,0,0,0
93,4,4,Semi Furnished,2500," 38,000        ",Gachibowli,0,0,0,0
94,3,3,Semi Furnished,1600," 45,000        ",Madhapur,0,0,0,0
95,2,2,Semi Furnished,880," 18,500        ",Film Nagar,0,0,0,0
96,2,2,NaN,750," 7,000        ",Uppal,0,1,0,0
97,2,2,Semi Furnished,956," 26,000        ",Nallagandla,0,1,0,0
98,2,2,Semi Furnished,1250," 22,000        ",Alkapur Township,0,1,0,0
99,2,2,Semi Furnished,788," 15,500        ",Chanda Nagar,0,0,0,0
100,3,3,NaN,1800," 50,000        ",Abids,0,0,0,0
101,2,2,Semi Furnished,608," 11,000        ",Old Bowenpally,0,0,0,0
102,2,2,Semi-Furnished Furnished,960," 12,000        ",Adibatla,0,0,0,0
103,3,2,Semi Furnished,1073," 20,000        ",Miyapur,0,1,0,0
104,3,3,NaN,975," 18,000        ",Chanda Nagar,0,0,0,0
105,3,2,Semi Furnished,1069," 21,000        ",Uppal,0,0,0,0
106,2,2,Semi Furnished,75," 10,000        ",Bachupally,0,0,0,0
107,2,2,NaN,750," 22,000        ",MIGH Colony-Mehdipatnam,0,1,0,0
108,2,2,NaN,900," 11,500        ",Pragathi Nagar-Kukatpally,0,0,0,0
109,2,2,Semi Furnished,113," 29,900        ",Banjara Hills,0,0,0,0
110,3,3,NaN,1875," 50,000        ",Madhapur,0,0,0,0
111,2,2,NaN,675," 10,000        ",Pasha Colony,0,0,0,0
112,3,-,NaN,1500," 55,000        ",Banjara Hills,0,0,0,0
113,2,2,NaN,900," 8,500        ",Sainikpuri,0,1,0,0
114,2,2,Semi Furnished,825," 11,000        ",Uppal,0,1,0,0
115,3,3,NaN,1088," 19,500        ",Nallagandla,0,0,0,0
